review_text,label,label_encoded
mantap sangat membantu tidak harus ke samsat,Positif,2
pengiriman tidak ada pilihan lain lebih murah dan cepat bayar langsung daripada pakai aplikasi,Positif,2
aplikasi bosok penerima daya bayar,Netral,1
sangat rekomendasi sekal tanpa harus pulang kedaerah asal sat set proses cepat tanpa ribet,Negatif,0
ok konsekuen penampilan film dalam matsuri,Netral,1
pengiriman kurang sat set tanggal terima,Netral,1
bagus sangat membantu jadi enggak perlu antri lama,Positif,2
ini pembayaran dimana ketika ada bisa datang langsung dari bumi proses pembuatannya mudah di coba pakai yang kirim allah juga dan puji tuhan diterima dengan sempurna,Negatif,0
simpel mudah gercep top banget,Positif,2
mudah,Positif,2
karena error tolong dari perbaiki dia,Negatif,0
aplikasi signal sangat membantu untuk pembayaran pajak tahunan bagi yang tidak sempat ke samsat dan jauh karena domisili di luar daerah proses cepat hari dari setelaah pembayaran dan sekarang sudah sampai terima kasih signal,Positif,2
aplikasi membantu untuk bayar pajak,Positif,2
jangan ragu bayar pajak di sini,Netral,1
sangat besar,Netral,1
aplikasi enggak jelas menunya enggak ada yang bisa jalan wkwkwk,Netral,1
selalu gagal memperoleh pengesahan 21 tahun lalu 1991,Negatif,0
sangat membantu selasa pengajuan jumat sudah sampai,Positif,2
bikin karier dan niat daftar pengesahan selalu gagal bikin account cuma yg habisin anggaran selalu mau maju jangan lagi,Negatif,0
aplikasinya bagus keren lebih efisien waktu jadinya terima kasih,Positif,2
susah dari pembayaran,Negatif,0
berhasil bayar lewat bank mandiri,Netral,1
sangat bagus,Positif,2
kesalahan registrasi sebelumnya dia gagal terus dengan alasan yang salah padahal data sudah benar dalam kasus serupa artinya system rekor datanya memang lemah kalah sama halnya nya yang sat in piece data,Negatif,0
simple dan mudah digunakan,Positif,2
kalau sedang terjadi transaksi malam,Netral,1
duduk manis dirumah tidak berdesak desakan mengantri maju terus indonesia,Netral,1
sangat simple dan proses cepat terima kasih,Positif,2
bayar pajak tahunan stnk mobil berhasil dikirim ke rumah alhamdulillah mempermudah terima kasih,Positif,2
good made,Netral,1
mau bayar pajak ontime tapi di sistem selalu gagal kami yang di dataran tinggi jarak ke kantor samsat butuh waktu jam,Negatif,0
jelas tetapi tahu lemot tidak lihat jelas kurir enggak sendiri status rusak oleh pihak bersangkutan enggak jauh enggak jelas,Negatif,0
aplikasinya sangat bagus mudah digunakan penjelasan cara bayar juga gampang dicerna saya coba sampai ke tahap pembayaran melalui indomaret berjalan sukses pengambilan penukaran stnk baru juga sangat mudah dan cepat saya sudah jajal di samsat pembantu prambanan pelayanan juga ramah banget top agent customer support juga responsif dan membantu,Positif,2
pengiriman model lama yaitu,Netral,1
sudah keren,Positif,2
cepat dan lama sekolah,Negatif,0
alhamdulillah sangat membantu sekal terima kasih polri,Positif,2
kenapa dia tidak bisa verifikasi email yg data mail nya sudah ditentukan,Negatif,0
lumayan membantu,Positif,2
dimana jelas sudah muncul kode informasi semua enggak bisa di cari sudah hari itu coba dan tahu,Negatif,0
heran kenapa wilayah donggala tengah melaksanakan pemeliharaan makan sangat lama tidak selesai selesai sudah datang menunggu,Netral,1
sudah bagus terima kasih,Positif,2
baru mulai dikembangkan,Netral,1
jadi saya enggak bisa jadi nanti ya,Negatif,0
mantap semoga untuk pilihan expedisi nya di perbanyak ya kantor pos suka suka dia kurirnya,Positif,2
secara fungsionalitas aplikasi sudah bagus berjalan dengan baik ayo tambahkan fitur untuk mutasi keluar kendaraan pasti akan sangat membantu,Positif,2
niat hati ingin taat bayar pajak tapi pembayaran via bank gagal terus sudah coba pakai mandiri dan bri tetap gagal mau indak mau akhirnya langsung ke samsat,Negatif,0
sangat membantu sekal buat orang perantauan yang susah untuk pulang kampung apalagi jadi jelas siapa alamat ktp maka kadang kalau langsung ke kantor suka rela belum lama kalau ini cukup tunggu dirumah hari saja yg sampai dengan d no ribet tapi capek ya uang keluar pulang saja terima kasih signal terima kasih kantor pos,Negatif,0
mantap hari sampai,Positif,2
error mulu kehilangan jaringan itu,Negatif,0
diupdate malah enggak bisa login,Negatif,0
ui yang mudah dipahami,Positif,2
bagus kok,Positif,2
aplikasi nya kan hanya di pakai mau daftarin stnk nya dikenakan pajak penghasilan nya bpk mulu nya caranya,Negatif,0
mantap aplikasi signal ini menurut saya sangat membantu kalo tau cara dan prosedur nya simpel enggak ribet estimasi sampai stnk sampai cepat enggak sampai seminggu,Negatif,0
katanya pemerintah butuh uang dari pajak oke kami paham akan warga sejahtera yang cinta nkri sih siap bayar pajak saya berusaha bayar pajak saya daftar 3 signal tapi saat saya sudah dapat kode bayar tidak pajak anda bayar di mbanking manapun terbukti transaksi gagal terus pengaduan cuman bot yang jawab 3 solusi ayolah rakyat mau bayar kok dipersulit persulitlah yang enggak taat pajak ada cara online ya sistemnya dibaguskan dong jitu diam mulu,Negatif,0
proses mudah mantap,Positif,2
ada sekali sama woyy bubarkan jadi,Negatif,0
out sebelum jadi instal bisa d gunakan kenapa pas mau update nya enggak bisa,Negatif,0
sangat membantu dengan adanya online apalagi dengan mudah sim dan boleh ganti 3 tahun bisa online juga bismillah menuju ke kualitas pasti tahu tahu saja administrasi ada kenaikan namun pasti setuju jika mudah proses pengiriman bisa diperbaiki,Negatif,0
mudah praktis,Positif,2
aplikasi bagus dan sangat membantu sekal bayar pajak perpanjangan stnk via online sampai hari kemudian stnk baru deh sampai kerumah via pos menghemat waktu buat saya jadi lebih efisien dan sangat efektif,Positif,2
kalau bisa khusus kendaraan pengiriman jangan hanya pakai khusus pakai ekspedisi jenis lain juga banyak,Netral,1
samsat balaraja tidak mengirimkan stnk saya padahal saya sudah bayar ongkir sekarang mau bayar lagi enggak bisa karena tidak ada pilihan provinsi banteng aplikasi pemerintah cuih,Negatif,0
juga kurang baik lagi kedepannya,Netral,1
bagus sih tapi prosesnya lumayan lama buat yang sibuk sih cocok saja,Positif,2
2001,Netral,1
gila sih ini proses enggak dulu yang sudah beberapa hari sudah dikirim aja bapak kalo tapi yg bagus tetap harus di apresiasi good production,Negatif,0
pelayanan cepat jadi enak enggak pakai naik ke lantai,Positif,2
kenapa malas dibilang pengiman dia bisa padahal sudah berpengalaman dua tahun stnk selalu dikirim,Negatif,0
bagaimana harus mengatasi suatu program yang gagal terus,Negatif,0
bayar pajak kendaraan semakin mudah,Positif,2
percuma tanggal november perpanjangan via aplikasi opsi kirim pos cuman anomali ujung nya harus tidak kirim sendiri tanggal november baru bisa ku ambil di samsat hanoman sembarang karena pilih ya kan rugi 25 ribu kurir ribu aplikasi kira kira untuk kantong siapa buat pos saya intinya kalo tidak pakai aplikasi ini pilih ambil di tempat jangan kirim pulang pos kalo enggak mau rugi,Negatif,0
bayar pajak saja menjadi naik terus,Negatif,0
bagus cepat enggak ada kendala,Positif,2
fit kendaraan saja enggak anda bisa notif selalu saja sangat pas kendaraan anda lawak e aplikasi,Negatif,0
aplikasinya sudah bagus dan sangat membantu hanya saja prosesnya pada saat pengesahan sangat lambat,Negatif,0
bagus dan pertahankan,Positif,2
apakah anggaran dari negara ingin cukup untuk buat aplikasi yang ahli kalau enggak bisa buat aplikasi tolong lah seorang orang tak kompeten bukan punya bank siapa saja rugi jadi jika saat ini uang rakyat paham kau,Negatif,0
cepat dan tepat,Positif,2
sudah bisa mengalami perubahan ke akunnya tolong diperbaiki oleh aplikasinya,Negatif,0
gagal proses berlangsung pengesahan,Negatif,0
fitur live chat nya enggak boleh menjawab sesuai dengan judul kalau jual sekaligus beli enggak bisa di pakai,Negatif,0
